Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
H2AC15	H2AC15: MUT AMP HOMDEL;	14	4%
H2BC6	H2BC6: MUT AMP HOMDEL;	14	4%
H2BC7	H2BC7: MUT AMP HOMDEL;	14	4%
H2BC8	H2BC8: MUT AMP HOMDEL;	14	4%
H2BC10	H2BC10: MUT AMP HOMDEL;	14	4%
H2BC13	H2BC13: MUT AMP HOMDEL;	14	4%
H2BC17	H2BC17: MUT AMP HOMDEL;	14	4%
H3C1	H3C1: MUT AMP HOMDEL;	14	4%
H3C4	H3C4: MUT AMP HOMDEL;	14	4%
H3C6	H3C6: MUT AMP HOMDEL;	14	4%
H3C8	H3C8: MUT AMP HOMDEL;	14	4%
H3C10	H3C10: MUT AMP HOMDEL;	14	4%
H3C12	H3C12: MUT AMP HOMDEL;	14	4%
CTTN	CTTN: MUT AMP HOMDEL;	13	4%
DVL2	DVL2: MUT AMP HOMDEL;	13	4%
ESR1	ESR1: MUT AMP HOMDEL;	13	4%
H2AC14	H2AC14: MUT AMP HOMDEL;	13	4%
H4C11	H4C11: MUT AMP HOMDEL;	13	4%
H4C12	H4C12: MUT AMP HOMDEL;	13	4%
H4C13	H4C13: MUT AMP HOMDEL;	13	4%
ATM	ATM: MUT AMP HOMDEL;	13	4%
ATAD3A	ATAD3A: MUT AMP HOMDEL;	13	4%
AFF4	AFF4: MUT AMP HOMDEL;	13	4%
GRIA1	GRIA1: MUT AMP HOMDEL;	13	4%
H2AC1	H2AC1: MUT AMP HOMDEL;	13	4%
H2AC13	H2AC13: MUT AMP HOMDEL;	13	4%
H2AC16	H2AC16: MUT AMP HOMDEL;	13	4%
H2BC1	H2BC1: MUT AMP HOMDEL;	13	4%
H2BC11	H2BC11: MUT AMP HOMDEL;	13	4%
H2BC12	H2BC12: MUT AMP HOMDEL;	13	4%
H2BC15	H2BC15: MUT AMP HOMDEL;	13	4%
DHX8	DHX8: MUT AMP HOMDEL;	13	4%
ERCC5	ERCC5: MUT AMP HOMDEL;	13	4%
CPSF3	CPSF3: MUT AMP HOMDEL;	12	3%
CENPQ	CENPQ: MUT AMP HOMDEL;	12	3%
CAND1	CAND1: MUT AMP HOMDEL;	12	3%
BRD7	BRD7: MUT AMP HOMDEL;	12	3%
CEP290	CEP290: MUT AMP HOMDEL;	12	3%
DCUN1D2	DCUN1D2: MUT AMP HOMDEL;	12	3%
BORA	BORA: MUT AMP HOMDEL;	11	3%
ANK3	ANK3: MUT AMP HOMDEL;	11	3%
CUL1	CUL1: MUT AMP HOMDEL;	11	3%
CHRNA1	CHRNA1: MUT AMP HOMDEL;	11	3%
DCUN1D1	DCUN1D1: MUT AMP HOMDEL;	11	3%
ASB10	ASB10: MUT AMP HOMDEL;	11	3%
CENPO	CENPO: MUT AMP HOMDEL;	11	3%
FBXL7	FBXL7: MUT AMP HOMDEL;	11	3%
ASB5	ASB5: MUT AMP HOMDEL;	11	3%
FBXO9	FBXO9: MUT AMP HOMDEL;	11	3%
ARRB2	ARRB2: MUT AMP HOMDEL;	10	2.7%
DDX17	DDX17: MUT AMP HOMDEL;	10	2.7%
DYNC1H1	DYNC1H1: MUT AMP HOMDEL;	10	2.7%
BRIX1	BRIX1: MUT AMP HOMDEL;	10	2.7%
ELAVL2	ELAVL2: MUT AMP HOMDEL;	10	2.7%
CUL2	CUL2: MUT AMP HOMDEL;	10	2.7%
ACIN1	ACIN1: MUT AMP HOMDEL;	10	2.7%
CEP250	CEP250: MUT AMP HOMDEL;	10	2.7%
AQR	AQR: MUT AMP HOMDEL;	10	2.7%
CWC22	CWC22: MUT AMP HOMDEL;	10	2.7%
ACTL6A	ACTL6A: MUT AMP HOMDEL;	10	2.7%
FMNL2	FMNL2: MUT AMP HOMDEL;	10	2.7%
FXR1	FXR1: MUT AMP HOMDEL;	10	2.7%
BRPF1	BRPF1: MUT AMP HOMDEL;	10	2.7%
ASB13	ASB13: MUT AMP HOMDEL;	10	2.7%
COMMD6	COMMD6: MUT AMP HOMDEL;	10	2.7%
CUX1	CUX1: MUT AMP HOMDEL;	10	2.7%
CACNB4	CACNB4: MUT AMP HOMDEL;	10	2.7%
CPSF4	CPSF4: MUT AMP HOMDEL;	9	2.5%
DAB2	DAB2: MUT AMP HOMDEL;	9	2.5%
DNAJC6	DNAJC6: MUT AMP HOMDEL;	9	2.5%
EPS15L1	EPS15L1: MUT AMP HOMDEL;	9	2.5%
DDX46	DDX46: MUT AMP HOMDEL;	9	2.5%
EIF4A1	EIF4A1: MUT AMP HOMDEL;	9	2.5%
ERCC2	ERCC2: MUT AMP HOMDEL;	9	2.5%
ANAPC2	ANAPC2: MUT AMP HOMDEL;	9	2.5%
DYNC1I2	DYNC1I2: MUT AMP HOMDEL;	9	2.5%
ASB16	ASB16: MUT AMP HOMDEL;	9	2.5%
CENPA	CENPA: MUT AMP HOMDEL;	9	2.5%
