Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RCCD1		15q26.1	AMP	1	70	1.4%	No
ITIH1		3p21.1	HOMDEL	1	70	1.4%	No
SSX1		Xp11.23	AMP	2	70	2.9%	Yes
DAZAP1		19p13.3	HOMDEL	3	70	4.3%	Yes
RPS6KA5		14q32.11	AMP	1	70	1.4%	No
RSL1D1		16p13.13	AMP	2	70	2.9%	No
MSX2		5q35.2	AMP	1	70	1.4%	No
RGS5-AS1		1q23.3	AMP	1	70	1.4%	No
DYRK1A		21q22.13	AMP	2	70	2.9%	No
PRIM2		6p11.2	AMP	2	70	2.9%	No
TTLL12		22q13.2	AMP	3	70	4.3%	No
THG1L		5q33.3	AMP	1	70	1.4%	No
OGFRP1		22q13.2	HOMDEL	1	70	1.4%	No
TRIM64B		11q14.3	AMP	2	70	2.9%	No
HMGCS1		5p12	AMP	4	70	5.7%	No
ZBTB7A		19p13.3	HOMDEL	2	70	2.9%	Yes
KRTAP17-1		17q21.2	HOMDEL	2	70	2.9%	No
CFAP44-AS1		3q13.2	AMP	3	70	4.3%	No
ARL4C		2q37.1	HOMDEL	2	70	2.9%	No
OR7A10		19p13.12	HOMDEL	1	70	1.4%	No
GNA15-DT		19p13.3	HOMDEL	2	70	2.9%	No
DICER1-AS1		14q32.13	AMP	1	70	1.4%	No
MPP1		Xq28	AMP	2	70	2.9%	No
SNORA2C		12q13.11	AMP	1	70	1.4%	No
MEN1		11q13	AMP	1	70	1.4%	Yes
VSTM5		11q21	AMP	3	70	4.3%	No
SDHAP3		5p15.33	AMP	3	70	4.3%	No
CYB5R3		22q13.2	AMP	2	70	2.9%	No
POLE		12q24.33	AMP	1	70	1.4%	Yes
ZNF654		3p11.1	HOMDEL	1	70	1.4%	No
ETV3L		1q23.1	AMP	1	70	1.4%	No
ZNRD2-DT		11q13.1	AMP	1	70	1.4%	No
CPNE8		12q12	AMP	1	70	1.4%	No
ARL13B		3q11.1-q11.2	AMP	2	70	2.9%	No
GRPR		Xp22.2	AMP	2	70	2.9%	No
ZNF490		19p13.2-p13.13	AMP	1	70	1.4%	No
ZNF576		19q13.31	AMP	2	70	2.9%	No
SHH		7q36.3	HOMDEL	1	70	1.4%	No
SSX2		Xp11.22	AMP	1	70	1.4%	Yes
SLC16A5		17q25.1	AMP	4	70	5.7%	No
CHMP1B2P		Xq21.1	HOMDEL	1	70	1.4%	No
DNAJB1		19p13.12	HOMDEL	1	70	1.4%	Yes
ZNF83		19q13.41	HOMDEL	1	70	1.4%	No
CATSPERG		19q13.2	AMP	3	70	4.3%	No
NDUFAF8		17q25.3	HOMDEL	1	70	1.4%	No
TSPAN11		12p11.21	AMP	1	70	1.4%	No
ABCC6		16p13.11	AMP	1	70	1.4%	No
DVL3		3q27.1	AMP	8	70	11.4%	No
MVD		16q24.2	HOMDEL	1	70	1.4%	No
EXOC3L4		14q32.32	HOMDEL	2	70	2.9%	No
SSX8P		Xp11.22	AMP	1	70	1.4%	No
LCNL1		9q34.3	HOMDEL	1	70	1.4%	No
SMIM2-IT1		13q14.11	HOMDEL	3	70	4.3%	No
PRR21		2q37.3	HOMDEL	2	70	2.9%	No
UTP11		1p34.3	AMP	1	70	1.4%	No
KRT40		17q21.2	HOMDEL	2	70	2.9%	No
CACNA1I		22q13.1	HOMDEL	1	70	1.4%	No
DHX33		17p13.2	HOMDEL	1	70	1.4%	No
SIDT1		3q13.2	AMP	3	70	4.3%	No
THEM5		1q21.3	AMP	1	70	1.4%	No
NKPD1		19q13.32	AMP	2	70	2.9%	No
USP6		17p13.2	HOMDEL	1	70	1.4%	Yes
SSX5		Xp11.23	AMP	2	70	2.9%	No
NUMBL		19q13.2	AMP	2	70	2.9%	No
LRRC4C		11p12	HOMDEL	1	70	1.4%	No
MUSTN1		3p21.1	HOMDEL	1	70	1.4%	No
ARAF		Xp11.3	AMP	2	70	2.9%	Yes
MYBPC3		11p11.2	HOMDEL	1	70	1.4%	No
GTF2F1		19p13.3	HOMDEL	2	70	2.9%	No
SLC16A6		17q24.2	AMP	1	70	1.4%	No
CCDC80		3q13.2	AMP	2	70	2.9%	No
TUBBP5		9q34.3	HOMDEL	1	70	1.4%	No
ADAR		1q21.3	AMP	1	70	1.4%	No
IKBKB		8p11.21	HOMDEL	1	70	1.4%	Yes
LYSMD2		15q21.2	HOMDEL	2	70	2.9%	No
PPP1R37		19q13.32	AMP	3	70	4.3%	No
POLG		15q26.1	AMP	1	70	1.4%	Yes
PRR14L		22q12.2	HOMDEL	1	70	1.4%	No
H3-3B		17q25.1	AMP	4	70	5.7%	Yes
RIIAD1		1q21.3	AMP	1	70	1.4%	No
OR7E24		19p13.2	HOMDEL	1	70	1.4%	No
SNRPA		19q13.2	AMP	2	70	2.9%	No
TTC32		2p24.1	AMP	1	70	1.4%	No
HAPLN3		15q26.1	AMP	1	70	1.4%	No
SSX4		Xp11.23	AMP	2	70	2.9%	Yes
SSX6P		Xp11.23	AMP	2	70	2.9%	No
SEMA3B-AS1		3p21.31	HOMDEL	1	70	1.4%	No
MTMR7		8p22	HOMDEL	1	70	1.4%	No
CCM2L		20q11.21	AMP	1	70	1.4%	No
ADARB1		21q22.3	AMP	1	70	1.4%	No
CD99P1		Xp22.33 and Yp11.31	AMP	1	70	1.4%	No
CISH		3p21.2	HOMDEL	1	70	1.4%	No
ERICH6		3q25.1	AMP	4	70	5.7%	No
DCPS		11q24.2	HOMDEL	1	70	1.4%	No
TMEM45A		3q12.2	AMP	3	70	4.3%	No
NPEPPSP1		17q12	AMP	1	70	1.4%	No
ZNF699		19p13.2	HOMDEL	1	70	1.4%	No
ZNF540		19q13.13	AMP	1	70	1.4%	No
RAB3IP		12q15	AMP	1	70	1.4%	No
HMGN5		Xq21.1	HOMDEL	1	70	1.4%	No
CXCL2		4q13.3	AMP	1	70	1.4%	No
METRNL		17q25.3	HOMDEL	1	70	1.4%	No
LINC01502		9q34.3	HOMDEL	1	70	1.4%	No
CSN1S2BP		4q13.3	AMP	1	70	1.4%	No
SNRPA1		15q26.3	AMP	1	70	1.4%	No
ESRP1		8q22.1	AMP	1	70	1.4%	No
GEMIN5		5q33.2	AMP	1	70	1.4%	No
SPATA16		3q26.31	AMP	10	70	14.3%	No
ZIC5		13q32.3	AMP	1	70	1.4%	No
RTP2		3q27.3	AMP	8	70	11.4%	No
DHODH		16q22.2	AMP	1	70	1.4%	No
SSX7		Xp11.22	AMP	1	70	1.4%	No
ADAMTS16-DT		5p15.32	HOMDEL	1	70	1.4%	No
UBE2Q2P1		15q25.2	AMP	1	70	1.4%	No
LRRC52		1q24.1	AMP	1	70	1.4%	No
BCL11B		14q32.2	AMP	1	70	1.4%	Yes
LOC440300		15q25.2	AMP	1	70	1.4%	No
CEP72-DT		5p15.33	AMP	3	70	4.3%	No
TBC1D3F		17q12	AMP	1	70	1.4%	No
CXCL3		4q13.3	AMP	1	70	1.4%	No
NKX6-2		10q26.3	HOMDEL	1	70	1.4%	No
OR8G2P		11q24.2	HOMDEL	1	70	1.4%	No
SNORA28		14q32.32	AMP	1	70	1.4%	No
MALAT1		11q13.1	AMP	1	70	1.4%	No
RAP1B		12q15	AMP	2	70	2.9%	No
SLC25A17		22q13.2	AMP	2	70	2.9%	No
NARF		17q25.3	HOMDEL	1	70	1.4%	No
MAF		16q23.2	HOMDEL	1	70	1.4%	Yes
RPS26P11		Xq13.1	AMP	1	70	1.4%	No
CEP295NL		17q25.3	HOMDEL	1	70	1.4%	No
OR7D2		19p13.2	HOMDEL	1	70	1.4%	No
GAGE2C		Xp11.23	AMP	2	70	2.9%	No
KRTAP16-1		17q21.2	HOMDEL	2	70	2.9%	No
TOMM70		3q12.2	AMP	3	70	4.3%	No
LINC00974		17q21.2	HOMDEL	2	70	2.9%	No
OTOP3		17q25.1	AMP	3	70	4.3%	No
LINC00410		13q31.3	HOMDEL	1	70	1.4%	No
TNIK		3q26.2-q26.31	AMP	10	70	14.3%	No
DNASE2		19p13.13	HOMDEL	1	70	1.4%	No
DONSON		21q22.11	HOMDEL	1	70	1.4%	No
DLGAP2		8p23.3	HOMDEL	2	70	2.9%	No
TNPO2		19p13.13	HOMDEL	1	70	1.4%	No
RABL6		9q34.3	HOMDEL	1	70	1.4%	No
KCNJ16		17q24.3	AMP	1	70	1.4%	No
TDRD10		1q21.3	AMP	1	70	1.4%	No
LRTM2		12p13.33	AMP	1	70	1.4%	No
KLF1		19p13.13	HOMDEL	1	70	1.4%	No
OR5M9		11q12.1	HOMDEL	1	70	1.4%	No
RALY-AS1		20q11.22	AMP	1	70	1.4%	No
SLC9A6		Xq26.3	AMP	1	70	1.4%	No
FAM177A1		14q13.2	AMP	2	70	2.9%	No
BRCA2		13q13.1	HOMDEL	1	70	1.4%	Yes
HAUS7		Xq28	AMP	2	70	2.9%	No
CENPM		22q13.2	HOMDEL	1	70	1.4%	No
TMEM272		13q14.3	HOMDEL	2	70	2.9%	No
SNHG18		5p15.31	AMP	4	70	5.7%	No
PDXDC1		16p13.11	AMP	1	70	1.4%	No
COX4I2		20q11.21	AMP	3	70	4.3%	No
SNORD114-11		14q32.31	HOMDEL	1	70	1.4%	No
C8ORF48		8p22	HOMDEL	1	70	1.4%	No
KCNJ15		21q22.13-q22.2	AMP	1	70	1.4%	No
TNFSF11		13q14	HOMDEL	3	70	4.3%	No
SOX14		3q22.3	AMP	3	70	4.3%	No
TMEM205		19p13.2	AMP	1	70	1.4%	No
API5		11p12	AMP	1	70	1.4%	No
ZNF791		19p13.13	HOMDEL	1	70	1.4%	No
SNORD79		1q25.1	AMP	1	70	1.4%	No
ATP5PD		17q25.1	AMP	4	70	5.7%	No
PKDREJ		22q13.31	AMP	2	70	2.9%	No
LINC00930		15q26.1	AMP	1	70	1.4%	No
RAP2C		Xq26.2	AMP	1	70	1.4%	No
PATE3		11q24.2	HOMDEL	1	70	1.4%	No
ZNF266		19p13.2	HOMDEL	1	70	1.4%	No
ADCY2		5p15.31	AMP	4	70	5.7%	No
PLXNA3		Xq28	AMP	2	70	2.9%	No
LINC02153		8p21.3	HOMDEL	1	70	1.4%	No
CELSR1		22q13.31	HOMDEL	1	70	1.4%	No
PNMA6A		Xq28	AMP	2	70	2.9%	No
SGTB		5q12.3	HOMDEL	1	70	1.4%	No
TFG		3q12.2	AMP	4	70	5.7%	Yes
SRPX		Xp11.4	AMP	1	70	1.4%	No
AKAP11		13q14.11	HOMDEL	3	70	4.3%	No
HINFP		11q23.3	HOMDEL	1	70	1.4%	No
MRPS17		7p11.2	AMP	1	70	1.4%	No
LINC00891		Xq13.1	AMP	1	70	1.4%	No
CAMK2G		10q22.2	HOMDEL	1	70	1.4%	No
AK7		14q32.2	AMP	1	70	1.4%	No
OPN5		6p12.3	AMP	1	70	1.4%	No
LINC00899		22q13.31	AMP	2	70	2.9%	No
SETDB1		1q21.3	AMP	1	70	1.4%	Yes
MEP1A		6p12.3	HOMDEL	1	70	1.4%	No
LCN10		9q34.3	HOMDEL	1	70	1.4%	No
THBS2		6q27	HOMDEL	1	70	1.4%	No
CPT1B		22q13.33	AMP	1	70	1.4%	No
C19ORF33		19q13.2	AMP	3	70	4.3%	No
ABCA10		17q24.3	AMP	1	70	1.4%	No
SELENOK		3p21.1	HOMDEL	1	70	1.4%	No
BEND2		Xp22.13	AMP	2	70	2.9%	No
LINC00618		14q32.2	AMP	1	70	1.4%	No
CACNA1C-AS1		12p13.33	AMP	1	70	1.4%	No
ULK1		12q24.33	AMP	1	70	1.4%	No
SST		3q27.3	AMP	8	70	11.4%	No
ZNF408		11p11.2	HOMDEL	1	70	1.4%	No
C11ORF68		11q13.1	AMP	1	70	1.4%	No
EPHA5-AS1		4q13.2	AMP	1	70	1.4%	No
TRIM49B		11p11.12	HOMDEL	1	70	1.4%	No
THUMPD3-AS1		3p25.3	HOMDEL	1	70	1.4%	No
CXORF38		Xp11.4	AMP	1	70	1.4%	No
MIER2		19p13.3	HOMDEL	3	70	4.3%	No
APPL1		3p14.3	HOMDEL	2	70	2.9%	No
TTLL13		15q26.1	AMP	1	70	1.4%	No
DET1		15q26.1	AMP	1	70	1.4%	No
INF2		14q32.33	HOMDEL	1	70	1.4%	No
SLC39A14		8p21.3	HOMDEL	1	70	1.4%	No
FAM8A1		6p22.3	HOMDEL	1	70	1.4%	No
TAGLN2		1q23.2	AMP	1	70	1.4%	No
ZNF461		19q13.13	AMP	1	70	1.4%	No
ADGRF4		6p12.3	AMP	1	70	1.4%	No
TMEM225		11q24.1	HOMDEL	1	70	1.4%	No
CHKB-DT		22q13.33	AMP	1	70	1.4%	No
SSTR1		14q13	AMP	2	70	2.9%	No
TAF13		1p13.3	AMP	1	70	1.4%	No
NKX6-3		8p11.21	AMP	2	70	2.9%	No
CCDC181		1q24.2	AMP	1	70	1.4%	No
GSC		14q32.13	HOMDEL	1	70	1.4%	No
TRPC4		13q13.3	HOMDEL	3	70	4.3%	No
GNAI2		3p21.31	HOMDEL	1	70	1.4%	No
PSMA5		1p13.3	AMP	1	70	1.4%	No
CCT5		5p15.2	AMP	4	70	5.7%	No
PPP4R3A		14q32.12	HOMDEL	1	70	1.4%	No
PRDM15		21q22.3	AMP	1	70	1.4%	No
AATBC		21q22.3	AMP	1	70	1.4%	No
NUDT14		14q32.33	AMP	1	70	1.4%	No
DTNBP1		6p22.3	HOMDEL	2	70	2.9%	No
SSX3		Xp11.23	AMP	2	70	2.9%	No
SSTR2		17q25.1	AMP	2	70	2.9%	No
SNORD80		1q25.1	AMP	1	70	1.4%	No
HSD17B10		Xp11.22	AMP	1	70	1.4%	No
CEP170B		14q32.33	AMP	1	70	1.4%	No
MAK		6p24.2	HOMDEL	1	70	1.4%	No
PRH1		12p13.2	AMP	1	70	1.4%	No
CUL5		11q22.3	HOMDEL	1	70	1.4%	No
SNAPC4		9q34.3	HOMDEL	2	70	2.9%	No
ZNF251		8q24.3	AMP	1	70	1.4%	No
PDHX		11p13	AMP	2	70	2.9%	No
TRIP10		19p13.3	HOMDEL	1	70	1.4%	No
UAP1L1		9q34.3	HOMDEL	1	70	1.4%	No
PSMA6		14q13.2	AMP	2	70	2.9%	No
LINC00319		21q22.3	AMP	1	70	1.4%	No
MPZ		1q23.3	AMP	1	70	1.4%	No
CPN2		3q29	AMP	10	70	14.3%	No
GSC2		22q11.21	AMP	1	70	1.4%	No
ZNF77		19p13.3	HOMDEL	2	70	2.9%	No
UXT		Xp11.23	AMP	2	70	2.9%	No
ZNF585B		19q13.12	AMP	1	70	1.4%	No
ADGRF5		6p12.3	AMP	1	70	1.4%	No
GCNT2		6p24.3-p24.2	HOMDEL	1	70	1.4%	No
LINC01020		5p15.32	AMP	3	70	4.3%	No
DDX12P		12p13.31	AMP	1	70	1.4%	No
DNAAF4		15q21.3	HOMDEL	2	70	2.9%	No
NHLRC3		13q13.3	HOMDEL	2	70	2.9%	No
SNCB		5q35.2	AMP	1	70	1.4%	No
MYO1D		17q11.2	HOMDEL	1	70	1.4%	No
RPS6KA6		Xq21.1	HOMDEL	1	70	1.4%	No
SLAMF7		1q23.3	AMP	1	70	1.4%	No
SNORD105B		2q33.1	HOMDEL	1	70	1.4%	No
LINC01990		3q13.12	AMP	2	70	2.9%	No
SPAG16-DT		2q34	HOMDEL	2	70	2.9%	No
POLA1		Xp22.11-p21.3	AMP	3	70	4.3%	No
PRH2		12p13.2	AMP	1	70	1.4%	No
ANKRD36BP1		1q24.2	AMP	1	70	1.4%	No
ABCB7		Xq13.3	AMP	1	70	1.4%	No
LINC00989		4q21.21	AMP	1	70	1.4%	No
COL18A1		21q22.3	AMP	1	70	1.4%	No
GLB1L		2q35	HOMDEL	2	70	2.9%	No
SHE		1q21.3	AMP	1	70	1.4%	No
LINC00323		21q22.2	AMP	1	70	1.4%	No
CPOX		3q11.2	AMP	2	70	2.9%	No
OR4C12		11p11.12	HOMDEL	1	70	1.4%	No
LRRC74A		14q24.3	HOMDEL	1	70	1.4%	No
LCE3A		1q21.3	AMP	1	70	1.4%	No
INF2		14q32.33	AMP	1	70	1.4%	No
HDX		Xq21.1	HOMDEL	1	70	1.4%	No
LINC00928		15q26.1	AMP	1	70	1.4%	No
SPANXC		Xq27.2	HOMDEL	1	70	1.4%	No
CHD2		15q26.1	AMP	1	70	1.4%	Yes
DGCR2		22q11.21	AMP	1	70	1.4%	No
ZNF699		19p13.2	AMP	1	70	1.4%	No
RPL8		8q24.3	AMP	1	70	1.4%	No
ZNF408		11p11.2	AMP	1	70	1.4%	No
EDEM1		3p26.1	HOMDEL	1	70	1.4%	No
METTL13		1q24.3	AMP	1	70	1.4%	No
TFF2		21q22.3	HOMDEL	1	70	1.4%	No
VAC14		16q22.1-q22.2	AMP	1	70	1.4%	No
HYAL1		3p21.31	HOMDEL	1	70	1.4%	No
PTPN13		4q21.3	HOMDEL	4	70	5.7%	Yes
PPP3CA		4q24	HOMDEL	1	70	1.4%	No
SNORD113-2		14q32.31	HOMDEL	1	70	1.4%	No
FAM227B		15q21.2	HOMDEL	2	70	2.9%	No
NHLRC1		6p22.3	HOMDEL	1	70	1.4%	No
HSPBAP1		3q21.1	AMP	3	70	4.3%	No
NDUFA7		19p13.2	AMP	1	70	1.4%	No
OR7E24		19p13.2	AMP	1	70	1.4%	No
TMCO1		1q24.1	AMP	1	70	1.4%	No
LIMD2		17q23.3	AMP	1	70	1.4%	No
ETS1		11q24.3	HOMDEL	1	70	1.4%	Yes
MTSS2		16q22.1	AMP	1	70	1.4%	No
LCE2D		1q21.3	AMP	1	70	1.4%	No
FRG2B		10q26.3	HOMDEL	3	70	4.3%	No
RASAL3		19p13.12	HOMDEL	1	70	1.4%	No
KCNJ12		17p11.2	AMP	1	70	1.4%	No
TRAPPC2		Xp22.2	AMP	2	70	2.9%	No
RAN		12q24.33	AMP	1	70	1.4%	No
VCX3B		Xp22.31	AMP	1	70	1.4%	No
MADD		11p11.2	HOMDEL	1	70	1.4%	No
RAB37		17q25.1	AMP	3	70	4.3%	No
OVOL1-AS1		11q13.1	AMP	1	70	1.4%	No
FOXM1		12p13.33	AMP	1	70	1.4%	No
ZNF45		19q13.31	AMP	3	70	4.3%	No
NDUFA6		22q13.2	AMP	2	70	2.9%	No
RAVER1		19p13.2	AMP	1	70	1.4%	No
ZNF772		19q13.43	AMP	1	70	1.4%	No
OR4C13		11p11.12	HOMDEL	1	70	1.4%	No
RAPSN		11p11.2	HOMDEL	1	70	1.4%	No
KRT38		17q21.2	HOMDEL	2	70	2.9%	No
ADAMTS10		19p13.2	HOMDEL	1	70	1.4%	No
SUPT20H		13q13.3	HOMDEL	2	70	2.9%	No
RPL10		Xq28	AMP	2	70	2.9%	Yes
LINC00226		14q32.33	AMP	1	70	1.4%	No
LCE3C		1q21.3	AMP	1	70	1.4%	No
USP27X		Xp11.23	AMP	2	70	2.9%	No
UBE2L3		22q11.21	AMP	1	70	1.4%	No
RANBP1		22q11.21	AMP	1	70	1.4%	No
NALCN-AS1		13q32.3	HOMDEL	1	70	1.4%	No
UGT2A3		4q13.2	AMP	1	70	1.4%	No
CBY3		5q35.3	AMP	1	70	1.4%	No
ABL1		9q34.12	AMP	1	70	1.4%	Yes
SPTSSA		14q13.1	AMP	2	70	2.9%	No
PCGF3-AS1		4p16.3	HOMDEL	1	70	1.4%	No
GABRP		5q35.1	AMP	1	70	1.4%	No
GPSM1		9q34.3	HOMDEL	2	70	2.9%	No
CDC42BPG		11q13.1	AMP	1	70	1.4%	No
FOXJ1		17q25.1	AMP	3	70	4.3%	No
SNORA69		Xq24	AMP	1	70	1.4%	No
YBX3		12p13.2	AMP	1	70	1.4%	No
LGALS7B		19q13.2	AMP	3	70	4.3%	No
C5ORF52		5q33.3	AMP	1	70	1.4%	No
THAP7-AS1		22q11.21	AMP	1	70	1.4%	No
TUSC7		3q13.31	AMP	3	70	4.3%	No
SUDS3		12q24.23	AMP	1	70	1.4%	No
SLC25A30		13q14.13	AMP	1	70	1.4%	No
LINC00221		14q32.33	AMP	1	70	1.4%	No
KCNJ10		1q23.2	AMP	1	70	1.4%	No
LCE3B		1q21.3	AMP	1	70	1.4%	No
TMEM132E-DT		17q12	HOMDEL	1	70	1.4%	No
TRH		3q22.1	AMP	3	70	4.3%	No
NDFIP2		13q31.1	HOMDEL	1	70	1.4%	No
IQSEC3		12p13.33	AMP	1	70	1.4%	No
GRK5		10q26.11	HOMDEL	1	70	1.4%	No
RANBP2		2q13	AMP	1	70	1.4%	Yes
USP36		17q25.3	HOMDEL	1	70	1.4%	No
INPP5D		2q37.1	HOMDEL	2	70	2.9%	Yes
ICAM4		19p13.2	HOMDEL	1	70	1.4%	No
TSPAN18		11p11.2	HOMDEL	1	70	1.4%	No
CST7		20p11.21	AMP	1	70	1.4%	No
KDM4D		11q21	AMP	3	70	4.3%	No
GLIS3-AS1		9p24.2	HOMDEL	1	70	1.4%	No
OR10J5		1q23.2	AMP	2	70	2.9%	No
SNORA70		Xq28	AMP	2	70	2.9%	No
TXNDC5		6p24.3	HOMDEL	1	70	1.4%	No
SLC9A9		3q24	AMP	3	70	4.3%	No
ZNF141		4p16.3	HOMDEL	1	70	1.4%	No
CPM		12q15	AMP	2	70	2.9%	No
EDN1		6p24.1	HOMDEL	2	70	2.9%	No
TPT1		13q14.13	HOMDEL	3	70	4.3%	No
KCNJ9		1q23.2	AMP	1	70	1.4%	No
LGALS14		19q13.2	AMP	3	70	4.3%	No
QSOX2		9q34.3	HOMDEL	2	70	2.9%	No
TRHR		8q23.1	AMP	1	70	1.4%	No
FCN2		9q34.3	HOMDEL	1	70	1.4%	No
SCO2		22q13.33	AMP	1	70	1.4%	No
PARP8		5q11.1	AMP	4	70	5.7%	No
GALNT10		5q33.2	AMP	1	70	1.4%	No
GABRG2		5q34	AMP	1	70	1.4%	No
EIF3G		19p13.2	AMP	1	70	1.4%	No
GIPC3		19p13.3	HOMDEL	2	70	2.9%	No
PEX11B		1q21.1	AMP	1	70	1.4%	No
MAN2B2		4p16.1	HOMDEL	1	70	1.4%	No
ZNF34		8q24.3	AMP	1	70	1.4%	No
SEMA5A		5p15.31	HOMDEL	1	70	1.4%	No
FOXL2NB		3q22.3	AMP	3	70	4.3%	No
DLG3-AS1		Xq13.1	AMP	1	70	1.4%	No
LCE3E		1q21.3	AMP	1	70	1.4%	No
L1CAM		Xq28	AMP	2	70	2.9%	No
DDB2		11p11.2	HOMDEL	1	70	1.4%	Yes
NAGA		22q13.2	HOMDEL	1	70	1.4%	No
RANGAP1		22q13.2	AMP	1	70	1.4%	No
C3ORF52		3q13.2	AMP	2	70	2.9%	No
LINC00911		14q31.3	HOMDEL	1	70	1.4%	No
GALNT8		12p13.32	AMP	1	70	1.4%	No
ATP8B3		19p13.3	AMP	1	70	1.4%	No
DYRK4		12p13.32	AMP	1	70	1.4%	No
LINC00575		4q21.22	AMP	1	70	1.4%	No
PRNCR1		8q24.21	AMP	1	70	1.4%	No
UBQLN4		1q22	AMP	1	70	1.4%	No
TEX45		19p13.2	AMP	1	70	1.4%	No
KLF5		13q22.1	HOMDEL	1	70	1.4%	Yes
GABRE		Xq28	AMP	2	70	2.9%	No
DCC		18q21.2	HOMDEL	1	70	1.4%	No
CCT3		1q22	AMP	1	70	1.4%	No
FAM66C		12p13.31	AMP	1	70	1.4%	No
TUSC2		3p21.31	HOMDEL	1	70	1.4%	No
ABCA11P		4p16.3	HOMDEL	1	70	1.4%	No
ZNF439		19p13.2	HOMDEL	1	70	1.4%	No
RGPD4		2q12.3	AMP	1	70	1.4%	No
C14ORF132		14q32.2	HOMDEL	1	70	1.4%	No
ZNF818P		19q13.42	HOMDEL	1	70	1.4%	No
HMGB1		13q12.3	HOMDEL	1	70	1.4%	No
NNT		5p12	AMP	4	70	5.7%	No
KCNJ6		21q22.13	AMP	2	70	2.9%	No
B9D2		19q13.2	AMP	2	70	2.9%	No
SPACA5		Xp11.23	AMP	2	70	2.9%	No
GLUD1P3		10q22.2	HOMDEL	1	70	1.4%	No
ARL11		13q14.2	HOMDEL	3	70	4.3%	No
TIMM13		19p13.3	AMP	1	70	1.4%	No
LINC00518		6p24.3	HOMDEL	1	70	1.4%	No
DOC2B		17p13.3	HOMDEL	1	70	1.4%	No
C11ORF97		11q21	AMP	3	70	4.3%	No
EDA		Xq13.1	HOMDEL	1	70	1.4%	No
ASB1		2q37.3	HOMDEL	3	70	4.3%	No
AGPAT3		21q22.3	AMP	1	70	1.4%	No
CCDC85C		14q32.2	AMP	1	70	1.4%	No
ZNF705A		12p13.31	AMP	1	70	1.4%	No
ZNF821		16q22.2	AMP	1	70	1.4%	No
SHANK3		22q13.33	HOMDEL	2	70	2.9%	No
GET4		7p22.3	AMP	1	70	1.4%	No
TRIO		5p15.2	AMP	4	70	5.7%	No
LINC01568		16q22.3	AMP	1	70	1.4%	No
USPL1		13q12.3	HOMDEL	1	70	1.4%	No
SNORD114-10		14q32.31	HOMDEL	1	70	1.4%	No
BAP1		3p21.1	HOMDEL	3	70	4.3%	Yes
TMEM210		9q34.3	HOMDEL	1	70	1.4%	No
CHST1		11p11.2	AMP	1	70	1.4%	No
RIPK4		21q22.3	AMP	1	70	1.4%	No
PSG11		19q13.31	AMP	2	70	2.9%	No
EIF3H		8q23.3-q24.11	AMP	1	70	1.4%	No
MROH2A		2q37.1	HOMDEL	2	70	2.9%	No
UGT2B28		4q13.2	AMP	1	70	1.4%	No
AIRN		6q25.3	HOMDEL	1	70	1.4%	No
PSMB1		6q27	HOMDEL	1	70	1.4%	No
SNORD105		19p13.2	AMP	1	70	1.4%	No
BCL2L10		15q21.2	HOMDEL	2	70	2.9%	No
