Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	70	1.4%	No
IGBP1P1		14q13.2	AMP	2	70	2.9%	No
GPHN		14q23.3	HOMDEL	1	70	1.4%	Yes
MEP1A		6p12.3	AMP	1	70	1.4%	No
TSIX		Xq13.2	AMP	1	70	1.4%	No
CCNB3		Xp11.22	AMP	2	70	2.9%	Yes
NQO1		16q22.1	AMP	1	70	1.4%	No
NOL11		17q24.2	AMP	1	70	1.4%	No
RNU6-48P		1p36.11	HOMDEL	2	70	2.9%	No
POLB		8p11.21	AMP	2	70	2.9%	No
PRR36		19p13.2	AMP	1	70	1.4%	No
CRELD2		22q13.33	AMP	1	70	1.4%	No
NAT2		8p22	HOMDEL	1	70	1.4%	No
GAGE12G		Xp11.23	AMP	2	70	2.9%	No
PSMB1		6q27	AMP	1	70	1.4%	No
SNORA29		6q25.3	HOMDEL	1	70	1.4%	No
ALG1L2		3q22.1	AMP	3	70	4.3%	No
FNBP4		11p11.2	HOMDEL	1	70	1.4%	No
OXR1		8q23.1	AMP	1	70	1.4%	No
STK11IP		2q35	HOMDEL	2	70	2.9%	No
B3GLCT		13q12.3	HOMDEL	1	70	1.4%	No
LINC00471		2q37.1	HOMDEL	2	70	2.9%	No
GRSF1		4q13.3	AMP	1	70	1.4%	No
SYTL2		11q14.1	AMP	2	70	2.9%	No
LINC01238		2q37.3	HOMDEL	2	70	2.9%	No
INO80D		2q33.3	HOMDEL	3	70	4.3%	No
FOCAD		9p21.3	HOMDEL	1	70	1.4%	No
ALKBH3-AS1		11p11.2	HOMDEL	1	70	1.4%	No
COG1		17q25.1	AMP	2	70	2.9%	No
NSMF		9q34.3	HOMDEL	1	70	1.4%	No
EHBP1L1		11q13.1	AMP	1	70	1.4%	No
ZNF556		19p13.3	AMP	1	70	1.4%	No
GAGE12D		Xp11.23	AMP	2	70	2.9%	No
FLNB		3p14.3	HOMDEL	1	70	1.4%	No
CNOT6		5q35.3	AMP	1	70	1.4%	No
