Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
FGF20	FGF20: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
FGF3	FGF3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
TRPC5	TRPC5: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
FGFR2	FGFR2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
PLCB1	PLCB1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	29	8%
PDGFA	PDGFA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
CLTCL1	CLTCL1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
MYO10	MYO10: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
PIK3R4	PIK3R4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
YES1	YES1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
BAG4	BAG4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
FGFR3	FGFR3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
TLR9	TLR9: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
ITPKC	ITPKC: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
ELMO2	ELMO2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
PLCH1	PLCH1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	28	8%
SNRPF	SNRPF: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
VAV2	VAV2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
ABI2	ABI2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
AHSG	AHSG: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
ERBB3	ERBB3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
ITPR1	ITPR1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	27	8%
DVL2	DVL2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
FNBP1	FNBP1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
NECAP2	NECAP2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
CCL3	CCL3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
ICE2	ICE2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
ELMO1	ELMO1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
FGA	FGA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
LAT	LAT: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
IRAK4	IRAK4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
DGKZ	DGKZ: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
INPP5A	INPP5A: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
ITPR2	ITPR2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
PLCB2	PLCB2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	26	7%
EGF	EGF: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
KIAA0319	KIAA0319: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
GNAI2	GNAI2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
NCKAP1	NCKAP1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
SNAI1	SNAI1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
WASF1	WASF1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
PRKCB	PRKCB: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
GAB2	GAB2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
PLCH2	PLCH2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
TICAM1	TICAM1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
TREM2	TREM2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	25	7%
AVPR2	AVPR2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
CRMP1	CRMP1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
ATF2	ATF2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
DOCK1	DOCK1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
FLT3	FLT3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
CPSF6	CPSF6: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
CACNA1C	CACNA1C: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
TRPC6	TRPC6: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
STRN	STRN: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
PIK3CG	PIK3CG: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
DAGLA	DAGLA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
