Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
CD80	CD80: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
ZMYM2	ZMYM2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CRMP1	CRMP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
PRKCA	PRKCA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ITPKB	ITPKB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ERG28	ERG28: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
VAV3	VAV3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
NRG4	NRG4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
NTF4	NTF4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
SH2D2A	SH2D2A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
PIK3R1	PIK3R1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CBL	CBL: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CLTCL1	CLTCL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
FNBP1	FNBP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
ANXA1	ANXA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
NCKAP1	NCKAP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CD247	CD247: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
PPP1R12B	PPP1R12B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
ERLIN2	ERLIN2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
