Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
POLR1G	POLR1G: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	46	15%
EP300	EP300: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	15%
COPS8	COPS8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	15%
ELAVL1	ELAVL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
FIP1L1	FIP1L1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
EPRS1	EPRS1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
AHCY	AHCY: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
HAUS5	HAUS5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
CCAR2	CCAR2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
EXO1	EXO1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	44	14%
COPS5	COPS5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
DCUN1D5	DCUN1D5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
CSNK1D	CSNK1D: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
COMMD7	COMMD7: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	14%
EPS15L1	EPS15L1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
FBXO22	FBXO22: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
BAZ1B	BAZ1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
ELOA	ELOA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	14%
DLST	DLST: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
GEMIN7	GEMIN7: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
CEP57	CEP57: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
ANAPC2	ANAPC2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
ERCC3	ERCC3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
BMS1	BMS1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	13%
EEF2	EEF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
EXOSC2	EXOSC2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
EIF3K	EIF3K: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
ANP32E	ANP32E: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	13%
DDX20	DDX20: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
CTTN	CTTN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
DDX5	DDX5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
BRCC3	BRCC3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
EIF4ENIF1	EIF4ENIF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
EIF4H	EIF4H: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
FBXW2	FBXW2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
FBXO32	FBXO32: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	13%
ARPC1A	ARPC1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
DAB2	DAB2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
ATM	ATM: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
FTSJ3	FTSJ3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
CDC40	CDC40: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
DCTN6	DCTN6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
COMMD5	COMMD5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	12%
AP2A1	AP2A1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
FBL	FBL: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
ACIN1	ACIN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
DHX8	DHX8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
ACTR10	ACTR10: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
DDX47	DDX47: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	12%
DHX15	DHX15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
DYNC1H1	DYNC1H1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
FN1	FN1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
COX15	COX15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
FBXO40	FBXO40: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
ANAPC5	ANAPC5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	12%
EPS15	EPS15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
GNA13	GNA13: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
CLASP2	CLASP2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
DDX41	DDX41: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
GTF2F1	GTF2F1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
ACTR1A	ACTR1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
ARHGEF2	ARHGEF2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
