Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
NFKBIB		19q13.2	AMP	1	8	12.5%	No
IFNL2		19q13.2	AMP	1	8	12.5%	No
EGFR-AS1		7p11.2	AMP	1	8	12.5%	No
SNORD115-20		15q11.2	HOMDEL	1	8	12.5%	No
ADRA1D		20p13	AMP	1	8	12.5%	No
NQO1		16q22.1	AMP	1	8	12.5%	No
SNX8		7p22.3	AMP	1	8	12.5%	No
LINC00906		19q12	AMP	1	8	12.5%	No
LINC00174		7q11.21	AMP	1	8	12.5%	No
ARL5C		17q12	AMP	1	8	12.5%	No
GJD3		17q21.2	AMP	1	8	12.5%	No
KLHL10		17q21.2	AMP	1	8	12.5%	No
ALG1L2		3q22.1	AMP	1	8	12.5%	No
SNORD116-29		15q11.2	HOMDEL	1	8	12.5%	No
HHLA2		3q13.13	AMP	1	8	12.5%	No
ADGRG7		3q12.2	AMP	1	8	12.5%	No
CMTM2		16q21	HOMDEL	1	8	12.5%	No
GSE1		16q24.1	HOMDEL	1	8	12.5%	No
PARP14		3q21.1	AMP	1	8	12.5%	No
ZMYND8		20q13.12	AMP	1	8	12.5%	No
DRD3		3q13.31	AMP	1	8	12.5%	No
MEOX2		7p21.2	AMP	1	8	12.5%	No
SDHAP4		3q29	AMP	1	8	12.5%	No
SNX10		7p15.2	AMP	1	8	12.5%	No
ZNF679		7q11.21	AMP	1	8	12.5%	No
PA2G4P4		3q25.31	AMP	1	8	12.5%	No
BRAT1		7p22.3	AMP	1	8	12.5%	No
KDELR2		7p22.1	AMP	1	8	12.5%	No
ARHGAP33		19q13.12	AMP	2	8	25.0%	No
SKAP2		7p15.2	AMP	1	8	12.5%	No
SPEF2		5p13.2	AMP	1	8	12.5%	No
TWIST1		7p21.1	AMP	1	8	12.5%	No
PWAR5		15q11.2	HOMDEL	1	8	12.5%	No
MPLKIP		7p14.1	AMP	1	8	12.5%	No
VSTM2B-DT		19q12	AMP	1	8	12.5%	No
MUC22		6p21.33	AMP	1	8	12.5%	No
ANKMY2		7p21.1	AMP	1	8	12.5%	No
TMEM207		3q28	AMP	1	8	12.5%	No
PDCD2L		19q13.11	AMP	1	8	12.5%	No
POLD2		7p13	AMP	1	8	12.5%	No
MORC1		3q13.13	AMP	1	8	12.5%	No
HMGCS1		5p12	AMP	1	8	12.5%	No
CFAP44-AS1		3q13.2	AMP	1	8	12.5%	No
PAF1		19q13.2	AMP	1	8	12.5%	No
FSCN1		7p22.1	AMP	1	8	12.5%	No
LSR		19q13.12	AMP	2	8	25.0%	No
MARCHF6		5p15.2	AMP	1	8	12.5%	No
BOC		3q13.2	AMP	1	8	12.5%	No
SDHAP3		5p15.33	AMP	1	8	12.5%	No
LINC01372		7q11.21	AMP	1	8	12.5%	No
FOXF1		16q24.1	HOMDEL	1	8	12.5%	Yes
ARL13B		3q11.1-q11.2	AMP	1	8	12.5%	No
IL12A		3q25.33	AMP	1	8	12.5%	No
JPH3		16q24.2	HOMDEL	1	8	12.5%	No
BPESC1		3q23	AMP	1	8	12.5%	No
