Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ADA		20q13.12	AMP	1	8	12.5%	No
PAK4		19q13.2	AMP	1	8	12.5%	No
CMTM3		16q22.1	HOMDEL	1	8	12.5%	No
PCIF1		20q13.12	AMP	1	8	12.5%	No
NPHP3-ACAD11		3q22.1	AMP	1	8	12.5%	No
FBXL20		17q12	AMP	1	8	12.5%	No
CDH13		16q23.3	HOMDEL	1	8	12.5%	No
CLK2P1		7p15.3	AMP	1	8	12.5%	No
NSUN2		5p15.31	AMP	1	8	12.5%	No
SEMG1		20q13.12	AMP	1	8	12.5%	No
AMOTL2		3q22.2	AMP	1	8	12.5%	No
KRTAP3-1		17q21.2	AMP	1	8	12.5%	No
CATSPERG		19q13.2	AMP	1	8	12.5%	No
SDHAF1		19q13.12	AMP	2	8	25.0%	No
DVL3		3q27.1	AMP	1	8	12.5%	No
ACKR4		3q22.1	AMP	1	8	12.5%	No
ABCB5		7p21.1	AMP	1	8	12.5%	No
ALDH1L1-AS1		3q21.3	AMP	1	8	12.5%	No
SENP2		3q27.2	AMP	1	8	12.5%	No
LCNL1		9q34.3	HOMDEL	1	8	12.5%	No
CCNL2		1p36.33	HOMDEL	1	8	12.5%	No
PWAR4		15q11.2	AMP	1	8	12.5%	No
EHMT2		6p21.33	AMP	1	8	12.5%	No
PKD1L1		7p12.3	AMP	1	8	12.5%	No
SIDT1		3q13.2	AMP	1	8	12.5%	No
AMZ1		7p22.3	AMP	1	8	12.5%	No
KRT40		17q21.2	AMP	1	8	12.5%	No
MYH15		3q13.13	AMP	1	8	12.5%	No
RNF24		20p13	AMP	1	8	12.5%	No
GTSF1L		20q13.12	AMP	1	8	12.5%	No
SEMG2		20q13.12	AMP	1	8	12.5%	No
CARD11		7p22.2	AMP	1	8	12.5%	Yes
KRTAP1-5		17q21.2	AMP	1	8	12.5%	No
LTA		6p21.33	AMP	1	8	12.5%	No
C17ORF98		17q12	AMP	1	8	12.5%	No
LRRC58		3q13.33	AMP	1	8	12.5%	No
ARL4A		7p21.3	AMP	1	8	12.5%	No
CCDC80		3q13.2	AMP	1	8	12.5%	No
SMR3B		4q13.3	HOMDEL	1	8	12.5%	No
NUPR2		7p11.2	AMP	1	8	12.5%	No
SNORD116-17		15q11.2	HOMDEL	1	8	12.5%	No
TRMT10C		3q12.3	AMP	1	8	12.5%	No
CEP63		3q22.2	AMP	1	8	12.5%	No
LINC01766		19q13.12	AMP	2	8	25.0%	No
SNORD115-38		15q11.2	HOMDEL	1	8	12.5%	No
ACTB		7p22.1	AMP	1	8	12.5%	Yes
HTR3E		3q27.1	AMP	1	8	12.5%	No
C2-AS1		6p21.33	AMP	1	8	12.5%	No
LY6G5B		6p21.33	AMP	1	8	12.5%	No
GNAO1		16q13	HOMDEL	1	8	12.5%	No
KCNK15		20q13.12	AMP	1	8	12.5%	No
ACP7		19q13.2	AMP	1	8	12.5%	No
GPR15		3q11.2	AMP	1	8	12.5%	No
SLC35E2B		1p36.33	HOMDEL	1	8	12.5%	No
SOSTDC1		7p21.2	AMP	1	8	12.5%	No
FBXL5		4p15.32	HOMDEL	1	8	12.5%	No
IFNL1		19q13.2	AMP	1	8	12.5%	No
CEP104		1p36.32	HOMDEL	1	8	12.5%	No
LINC01529		19q13.12	AMP	2	8	25.0%	No
XXYLT1-AS2		3q29	AMP	1	8	12.5%	No
GAPDHS		19q13.12	AMP	2	8	25.0%	No
LINC00881		3q25.31	AMP	1	8	12.5%	No
PPP1R10		6p21.33	AMP	1	8	12.5%	No
MAP6D1		3q27.1	AMP	1	8	12.5%	No
LINC01777		1p36.32	HOMDEL	1	8	12.5%	No
GNB4		3q26.33	AMP	1	8	12.5%	No
ERICH6		3q25.1	AMP	1	8	12.5%	No
PPP1R18		6p21.33	AMP	1	8	12.5%	No
CLIC1		6p21.33	AMP	1	8	12.5%	No
DHX58		17q21.2	AMP	1	8	12.5%	No
GARS1		7p14.3	AMP	1	8	12.5%	No
TMEM45A		3q12.2	AMP	1	8	12.5%	No
NPEPPSP1		17q12	AMP	1	8	12.5%	No
GTF2H4		6p21.33	AMP	1	8	12.5%	No
INVS		9q31.1	HOMDEL	1	8	12.5%	No
ZNF540		19q13.13	AMP	1	8	12.5%	No
DPY19L2P3		7p14.3	AMP	1	8	12.5%	No
LINC02167		16p11.1	HOMDEL	1	8	12.5%	No
KRT222		17q21.2	AMP	1	8	12.5%	No
LINC01213		3q25.1	AMP	1	8	12.5%	No
PDCD10		3q26.1	AMP	1	8	12.5%	No
NRG1-IT1		8p12	AMP	1	8	12.5%	No
ZNF793		19q13.12	AMP	1	8	12.5%	No
LIN37		19q13.12	AMP	2	8	25.0%	No
IFNL3		19q13.2	AMP	1	8	12.5%	No
SPATA16		3q26.31	AMP	1	8	12.5%	No
RTP2		3q27.3	AMP	1	8	12.5%	No
PEX5L		3q26.33	AMP	1	8	12.5%	No
MSL1		17q21.1	AMP	1	8	12.5%	No
MASP1		3q27.3	AMP	1	8	12.5%	No
ASTE1		3q22.1	AMP	1	8	12.5%	No
MRPS12		19q13.2	AMP	1	8	12.5%	No
SEMA5A		5p15.31	AMP	1	8	12.5%	No
NAA15		4q31.1	HOMDEL	1	8	12.5%	No
ABCA17P		16p13.3	HOMDEL	1	8	12.5%	No
SBDS		7q11.21	AMP	1	8	12.5%	Yes
NIPBL-DT		5p13.2	AMP	1	8	12.5%	No
PWARSN		15q11.2	AMP	1	8	12.5%	No
CEP72-DT		5p15.33	AMP	1	8	12.5%	No
MT1M		16q13	HOMDEL	1	8	12.5%	No
TBC1D3F		17q12	AMP	1	8	12.5%	No
SCHIP1		3q25.33	AMP	1	8	12.5%	No
TIPARP-AS1		3q25.31	AMP	1	8	12.5%	No
MYL7		7p13	AMP	1	8	12.5%	No
CHCHD6		3q21.3	AMP	1	8	12.5%	No
FKBP10		17q21.2	AMP	1	8	12.5%	No
AADACP1		3q25.1	AMP	1	8	12.5%	No
LINC02116		5p15.33	AMP	1	8	12.5%	No
RBAKDN		7p22.1	AMP	1	8	12.5%	No
HLA-DQB1		6p21.32	AMP	1	8	12.5%	No
HOXA7		7p15.2	AMP	1	8	12.5%	No
EGFLAM-AS2		5p13.2-p13.1	AMP	1	8	12.5%	No
TOMM70		3q12.2	AMP	1	8	12.5%	No
EPOP		17q12	AMP	1	8	12.5%	No
TNIK		3q26.2-q26.31	AMP	1	8	12.5%	No
LINC02015		3q26.32	AMP	1	8	12.5%	No
CWC25		17q12	AMP	1	8	12.5%	No
SCARNA7		3q25.22	AMP	1	8	12.5%	No
SP8		7p21.1	AMP	1	8	12.5%	No
NMD3		3q26.1	AMP	1	8	12.5%	No
HLA-DQA2		6p21.32	AMP	1	8	12.5%	No
GOLGA8IP		15q11.2	HOMDEL	1	8	12.5%	No
ADCY1		7p12.3	AMP	1	8	12.5%	No
KRTAP9-2		17q21.2	AMP	1	8	12.5%	No
LINC01620		20q13.12	AMP	1	8	12.5%	No
SNORD116-26		15q11.2	HOMDEL	1	8	12.5%	No
HDAC9		7p21.1	AMP	1	8	12.5%	No
SNHG18		5p15.31	AMP	1	8	12.5%	No
P2RY1		3q25.2	AMP	1	8	12.5%	No
GPR179		17q12	AMP	1	8	12.5%	No
RNF216P1		7p22.1	AMP	1	8	12.5%	No
PRDM16		1p36.32	HOMDEL	1	8	12.5%	Yes
SAMD11		1p36.33	HOMDEL	1	8	12.5%	No
HOXA6		7p15.2	AMP	1	8	12.5%	No
KRTAP4-4		17q21.2	AMP	1	8	12.5%	No
SNORD115-28		15q11.2	HOMDEL	1	8	12.5%	No
EYA2		20q13.12	AMP	1	8	12.5%	No
TMEM147		19q13.12	AMP	2	8	25.0%	No
CDK13		7p14.1	AMP	1	8	12.5%	No
TMEM106B		7p21.3	AMP	1	8	12.5%	No
UGT3A2		5p13.2	AMP	1	8	12.5%	No
TAX1BP1		7p15.2	AMP	1	8	12.5%	No
SOX14		3q22.3	AMP	1	8	12.5%	No
WDR49		3q26.1	AMP	1	8	12.5%	No
TP53RK		20q13.12	AMP	1	8	12.5%	No
LINC02111		5p15.1	AMP	1	8	12.5%	No
FGF10-AS1		5p12	AMP	1	8	12.5%	No
RXFP3		5p13.2	AMP	1	8	12.5%	No
PWRN2		15q11.2	HOMDEL	1	8	12.5%	No
ESYT3		3q22.3	AMP	1	8	12.5%	No
SLCO2A1		3q22.1-q22.2	AMP	1	8	12.5%	No
FZD4-DT		11q14.2	HOMDEL	1	8	12.5%	No
DBNDD2		20q13.12	AMP	1	8	12.5%	No
HLA-DQA1		6p21.32	AMP	1	8	12.5%	No
ADCY2		5p15.31	AMP	1	8	12.5%	No
MBTPS1		16q23.3-q24.1	HOMDEL	1	8	12.5%	No
RPL23P8		7p15.3	AMP	1	8	12.5%	No
MKRN3		15q11.2	HOMDEL	1	8	12.5%	No
FOXL1		16q24.1	HOMDEL	1	8	12.5%	No
PSMA2		7p14.1	AMP	1	8	12.5%	No
WFDC1		16q24.1	HOMDEL	1	8	12.5%	No
TMED4		7p13	AMP	1	8	12.5%	No
NEUROD6		7p14.3	AMP	1	8	12.5%	No
HOXA5		7p15.2	AMP	1	8	12.5%	No
TFG		3q12.2	AMP	1	8	12.5%	Yes
ST3GAL6-AS1		3q12.1	AMP	1	8	12.5%	No
ZNF733P		7q11.21	AMP	1	8	12.5%	No
USP13		3q26.33	AMP	1	8	12.5%	No
PRDM9		5p14.2	AMP	1	8	12.5%	No
CSN3		4q13.3	HOMDEL	1	8	12.5%	No
LINC02067		3q26.1	AMP	1	8	12.5%	No
ATR		3q23	AMP	1	8	12.5%	Yes
NPR3		5p13.3	AMP	1	8	12.5%	No
SLC6A3		5p15.33	AMP	1	8	12.5%	No
MRPS17		7p11.2	AMP	1	8	12.5%	No
C6ORF47		6p21.33	AMP	1	8	12.5%	No
FLOT1		6p21.33	AMP	1	8	12.5%	No
KRBOX5		16p11.2	HOMDEL	1	8	12.5%	No
ADAMTS16		5p15.32	AMP	1	8	12.5%	No
HPN		19q13.11	AMP	2	8	25.0%	No
MACROD2-AS1		20p12.1	HOMDEL	1	8	12.5%	No
NFE2L3		7p15.2	AMP	1	8	12.5%	No
SNORD116-4		15q11.2	HOMDEL	1	8	12.5%	No
ZNF12		7p22.1	AMP	1	8	12.5%	No
KRTAP3-2		17q21.2	AMP	1	8	12.5%	No
KRTAP4-1		17q21.2	AMP	1	8	12.5%	No
HOXA4		7p15.2	AMP	1	8	12.5%	No
TOX2		20q13.12	AMP	1	8	12.5%	No
CHST13		3q21.3	AMP	1	8	12.5%	No
DUSP26		8p12	AMP	1	8	12.5%	No
PRSS23		11q14.2	HOMDEL	1	8	12.5%	No
LINC01082		16q24.1	HOMDEL	1	8	12.5%	No
C19ORF33		19q13.2	AMP	1	8	12.5%	No
SEC61G		7p11.2	AMP	1	8	12.5%	No
CSNK2B		6p21.33	AMP	1	8	12.5%	No
GPR156		3q13.33	AMP	1	8	12.5%	No
HACD2		3q21.1	AMP	1	8	12.5%	No
LINC00311		16q24.1	HOMDEL	1	8	12.5%	No
NKIRAS2		17q21.2	AMP	1	8	12.5%	No
SST		3q27.3	AMP	1	8	12.5%	No
CLDN1		3q28	AMP	1	8	12.5%	No
YKT6		7p13	AMP	1	8	12.5%	No
LINC01531		19q13.12	AMP	2	8	25.0%	No
PLCH2		1p36.32	HOMDEL	1	8	12.5%	No
COL6A6		3q22.1	AMP	1	8	12.5%	No
SNORD115-10		15q11.2	HOMDEL	1	8	12.5%	No
IRF8		16q24.1	HOMDEL	1	8	12.5%	Yes
MARCHF11		5p15.1	AMP	1	8	12.5%	No
HOXA3		7p15.2	AMP	1	8	12.5%	Yes
EPHB3		3q27.1	AMP	1	8	12.5%	No
TMPRSS7		3q13.2	AMP	1	8	12.5%	No
CFAP74		1p36.33	HOMDEL	1	8	12.5%	No
CYP21A1P		6p21.33	AMP	1	8	12.5%	No
U2SURP		3q23	AMP	1	8	12.5%	No
TP63		3q28	AMP	1	8	12.5%	Yes
PMS2CL		7p22.1	AMP	1	8	12.5%	No
CCNE1		19q12	AMP	1	8	12.5%	Yes
ZNF461		19q13.13	AMP	1	8	12.5%	No
ZMIZ2		7p13	AMP	1	8	12.5%	No
SPINT2		19q13.2	AMP	1	8	12.5%	No
CCT5		5p15.2	AMP	1	8	12.5%	No
PRNT		20p13	AMP	1	8	12.5%	No
TBCB		19q13.12	AMP	1	8	12.5%	No
ZNF853		7p22.1	AMP	1	8	12.5%	No
HCST		19q13.12	AMP	2	8	25.0%	No
CCHCR1		6p21.33	AMP	1	8	12.5%	No
RABL3		3q13.33	AMP	1	8	12.5%	No
RBM42		19q13.12	AMP	2	8	25.0%	No
UMAD1		7p21.3	AMP	1	8	12.5%	No
ATAT1		6p21.33	AMP	1	8	12.5%	No
ZSWIM3		20q13.12	AMP	1	8	12.5%	No
C19ORF12		19q12	AMP	1	8	12.5%	No
IRX5		16q12.2	HOMDEL	1	8	12.5%	No
NFKBIL1		6p21.33	AMP	1	8	12.5%	No
EPHB1		3q22.2	AMP	1	8	12.5%	Yes
RBL2		16q12.2	HOMDEL	1	8	12.5%	No
ACOT4		14q24.3	HOMDEL	1	8	12.5%	No
MME		3q25.2	AMP	1	8	12.5%	No
MIDEAS		14q24.3	HOMDEL	1	8	12.5%	Yes
HERC2P7		15q11.2	HOMDEL	1	8	12.5%	No
SNORD116-13		15q11.2	HOMDEL	1	8	12.5%	No
ALKBH6		19q13.12	AMP	2	8	25.0%	No
MED1		17q12	AMP	1	8	12.5%	No
KRTAP9-4		17q21.2	AMP	1	8	12.5%	No
CD200R1L		3q13.2	AMP	1	8	12.5%	No
FAM20C		7p22.3	AMP	1	8	12.5%	No
BANP		16q24.2	HOMDEL	1	8	12.5%	No
BTBD3		20p12.2	AMP	1	8	12.5%	No
CPN2		3q29	AMP	1	8	12.5%	No
FKBP9		7p14.3	AMP	1	8	12.5%	No
OR5K1		3q11.2	AMP	1	8	12.5%	No
LCN12		9q34.3	HOMDEL	1	8	12.5%	No
TTC34		1p36.32	HOMDEL	1	8	12.5%	No
AUH		9q22.31	AMP	1	8	12.5%	No
ZNF585B		19q13.12	AMP	1	8	12.5%	No
LINC01020		5p15.32	AMP	1	8	12.5%	No
PXYLP1		3q23	AMP	1	8	12.5%	No
WFDC10A		20q13.12	AMP	1	8	12.5%	No
URGCP-MRPS24		7p13	AMP	1	8	12.5%	No
CFAP44		3q13.2	AMP	1	8	12.5%	No
KCNIP4		4p15.31-p15.2	HOMDEL	1	8	12.5%	No
LINC01990		3q13.12	AMP	1	8	12.5%	No
HERPUD1		16q13	HOMDEL	1	8	12.5%	Yes
ZFAND2A		7p22.3	AMP	1	8	12.5%	No
NADK		1p36.33	HOMDEL	1	8	12.5%	Yes
ROPN1L		5p15.2	AMP	1	8	12.5%	No
LINC02877		3q25.2	AMP	1	8	12.5%	No
PLD1		3q26.31	AMP	1	8	12.5%	No
NUDT16		3q22.1	AMP	1	8	12.5%	No
HLA-DOB		6p21.32	AMP	1	8	12.5%	No
KRTAP29-1		17q21.2	AMP	1	8	12.5%	No
FDCSP		4q13.3	HOMDEL	1	8	12.5%	No
MBD4		3q21.3	AMP	1	8	12.5%	No
FIGNL1		7p12.2	AMP	1	8	12.5%	No
RNU6-16P		11q14.3	AMP	1	8	12.5%	No
CPOX		3q11.2	AMP	1	8	12.5%	No
KLF15		3q21.3	AMP	1	8	12.5%	No
PWAR4		15q11.2	HOMDEL	1	8	12.5%	No
RNF168		3q29	AMP	1	8	12.5%	No
IGF2BP2		3q27.2	AMP	1	8	12.5%	No
C4A		6p21.33	AMP	1	8	12.5%	No
MCM2		3q21.3	AMP	1	8	12.5%	No
LRRC15		3q29	AMP	1	8	12.5%	No
ANXA2R-OT1		5p12	AMP	1	8	12.5%	No
UPP1		7p12.3	AMP	1	8	12.5%	No
TMEM230		20p13-p12.3	AMP	1	8	12.5%	No
KCNK6		19q13.2	AMP	1	8	12.5%	No
RBP2		3q23	AMP	1	8	12.5%	No
SYS1-DBNDD2		20q13.12	AMP	1	8	12.5%	No
MMP23B		1p36.33	HOMDEL	1	8	12.5%	No
ABCF1		6p21.33	AMP	1	8	12.5%	No
GOLGA8S		15q11.2	HOMDEL	1	8	12.5%	No
FOXE1		9q22.33	AMP	1	8	12.5%	No
HERC2P4		16p11.2	HOMDEL	1	8	12.5%	No
EIF3B		7p22.3	AMP	1	8	12.5%	No
HSPBAP1		3q21.1	AMP	1	8	12.5%	No
HNRNPL		19q13.2	AMP	1	8	12.5%	No
HAUS5		19q13.12	AMP	2	8	25.0%	No
HNF1B		17q12	AMP	1	8	12.5%	No
MT1L		16q13	HOMDEL	1	8	12.5%	No
OGDH		7p13	AMP	1	8	12.5%	No
MIEN1		17q12	AMP	1	8	12.5%	No
GOLGA6L6		15q11.2	HOMDEL	1	8	12.5%	No
C4B		6p21.33	AMP	1	8	12.5%	No
LINC02860		7p15.2	AMP	1	8	12.5%	No
CORO2A		9q22.33	AMP	1	8	12.5%	No
SNORD116-23		15q11.2	HOMDEL	1	8	12.5%	No
COX19		7p22.3	AMP	1	8	12.5%	No
HCG23		6p21.32	AMP	1	8	12.5%	No
EIF1		17q21.2	AMP	1	8	12.5%	No
KRTAP9-7		17q21.2	AMP	1	8	12.5%	No
DPPA4		3q13.13	AMP	1	8	12.5%	No
FETUB		3q27.3	AMP	1	8	12.5%	No
SMOX		20p13	AMP	1	8	12.5%	No
SUN1		7p22.3	AMP	1	8	12.5%	No
RNF5		6p21.32	AMP	1	8	12.5%	No
ECT2		3q26.31	AMP	1	8	12.5%	No
C7ORF57		7p12.3	AMP	1	8	12.5%	No
LINC02042		3q13.2	AMP	1	8	12.5%	No
GPR160		3q26.2	AMP	1	8	12.5%	No
SPATA25		20q13.12	AMP	1	8	12.5%	No
POP4		19q12	AMP	1	8	12.5%	No
GAST		17q21.2	AMP	1	8	12.5%	No
MED24		17q21.1	AMP	1	8	12.5%	No
SNORD116-21		15q11.2	AMP	1	8	12.5%	No
TFDP2		3q23	AMP	1	8	12.5%	No
TRMT6		20p12.3	AMP	1	8	12.5%	No
GOLGA4		3p22.2	HOMDEL	1	8	12.5%	No
PRR23A		3q23	AMP	1	8	12.5%	No
PDGFA		7p22.3	AMP	1	8	12.5%	No
ATP2C2		16q24.1	HOMDEL	1	8	12.5%	No
SYCN		19q13.2	AMP	1	8	12.5%	No
LGALS7B		19q13.2	AMP	1	8	12.5%	No
POGLUT1		3q13.33	AMP	1	8	12.5%	No
TUSC7		3q13.31	AMP	1	8	12.5%	No
NAE1		16q22.1	HOMDEL	1	8	12.5%	No
ECH1		19q13.2	AMP	1	8	12.5%	No
PABPC1L		20q13.12	AMP	1	8	12.5%	No
SEPTIN7		7p14.2	AMP	1	8	12.5%	No
SPTLC1		9q22.31	AMP	1	8	12.5%	No
CD80		3q13.33	AMP	1	8	12.5%	No
CYP21A2		6p21.33	AMP	1	8	12.5%	No
IGF2BP3		7p15.3	AMP	1	8	12.5%	No
PIGT		20q13.12	AMP	1	8	12.5%	No
P2RY13		3q25.1	AMP	1	8	12.5%	No
TRH		3q22.1	AMP	1	8	12.5%	No
SNORD116-20		15q11.2	AMP	1	8	12.5%	No
AHSP		16p11.2	HOMDEL	1	8	12.5%	No
SCGB2B3P		19q13.11	AMP	1	8	12.5%	No
STARD3NL		7p14-p13	AMP	1	8	12.5%	No
SNORD116-18		15q11.2	AMP	1	8	12.5%	No
VPS8		3q27.2	AMP	1	8	12.5%	No
NCCRP1		19q13.2	AMP	1	8	12.5%	No
OSTN		3q28	AMP	1	8	12.5%	No
KCNMB3		3q26.32	AMP	1	8	12.5%	No
SLC9A9		3q24	AMP	1	8	12.5%	No
FIP1L1		4q12	HOMDEL	1	8	12.5%	Yes
CD86		3q13.33	AMP	1	8	12.5%	No
FNDC3B		3q26.31	AMP	1	8	12.5%	No
LINC01193		15q11.2	HOMDEL	1	8	12.5%	No
GMNC		3q28	AMP	1	8	12.5%	No
HCP5		6p21.33	AMP	1	8	12.5%	No
LINC00654		20p12.3	AMP	1	8	12.5%	No
LGALS14		19q13.2	AMP	1	8	12.5%	No
SNORD116-23		15q11.2	AMP	1	8	12.5%	No
PARP8		5q11.1	AMP	1	8	12.5%	No
SNORD115-6		15q11.2	HOMDEL	1	8	12.5%	No
EID2B		19q13.2	AMP	1	8	12.5%	No
AADACL2-AS1		3q25.1	AMP	1	8	12.5%	No
MKRN7P		20q13.12	AMP	1	8	12.5%	No
PICALM		11q14.2	HOMDEL	1	8	12.5%	Yes
PRRT1		6p21.32	AMP	1	8	12.5%	No
SEPTIN14		7p11.2	AMP	1	8	12.5%	No
NUP42		7p15.3	AMP	1	8	12.5%	No
WFDC6		20q13.12	AMP	1	8	12.5%	No
FOXL2NB		3q22.3	AMP	1	8	12.5%	No
CCR7		17q21.2	AMP	1	8	12.5%	No
CCT6P1		7q11.21	AMP	1	8	12.5%	No
ZNF316		7p22.1	AMP	1	8	12.5%	No
SNORD116-22		15q11.2	AMP	1	8	12.5%	No
PLCH1		3q25.31	AMP	1	8	12.5%	No
C3ORF52		3q13.2	AMP	1	8	12.5%	No
GRAMD1A		19q13.11	AMP	2	8	25.0%	No
USP10		16q24.1	HOMDEL	1	8	12.5%	No
ZNF382		19q13.12	AMP	1	8	12.5%	No
POU5F1		6p21.33	AMP	1	8	12.5%	Yes
EGFL8		6p21.32	AMP	1	8	12.5%	No
CCDC27		1p36.32	HOMDEL	1	8	12.5%	No
SNRPN		15q11.2	HOMDEL	1	8	12.5%	No
ARHGEF16		1p36.32	HOMDEL	1	8	12.5%	No
C16ORF95		16q24.2	HOMDEL	1	8	12.5%	No
EMC8		16q24.1	HOMDEL	1	8	12.5%	No
RARA-AS1		17q21.2	AMP	1	8	12.5%	No
FNDC10		1p36.33	HOMDEL	1	8	12.5%	No
LPCAT1		5p15.33	AMP	1	8	12.5%	No
OR4F5		1p36.33	HOMDEL	1	8	12.5%	No
SPIN4		Xq11.1	AMP	1	8	12.5%	No
LINC00273		16p11.2	HOMDEL	1	8	12.5%	No
STXBP5L		3q13.33	AMP	1	8	12.5%	No
MT1B		16q13	HOMDEL	1	8	12.5%	No
SNORD116-25		15q11.2	AMP	1	8	12.5%	No
LY6G6F		6p21.33	AMP	1	8	12.5%	No
H1-10		3q21.3	AMP	1	8	12.5%	No
NNT		5p12	AMP	1	8	12.5%	No
RIN2		20p11.23	AMP	1	8	12.5%	No
EVX1		7p15.2	AMP	1	8	12.5%	No
DBR1		3q22.3	AMP	1	8	12.5%	No
LINC00957		7p13	AMP	1	8	12.5%	No
RIMOC1		5p13.1	AMP	1	8	12.5%	No
MRPS24		7p13	AMP	1	8	12.5%	No
CDH18		5p14.3	AMP	1	8	12.5%	No
RADIL		7p22.1	AMP	1	8	12.5%	No
SNORD115-18		15q11.2	HOMDEL	1	8	12.5%	No
TRIL		7p14.3	AMP	1	8	12.5%	No
CNBP		3q21.3	AMP	1	8	12.5%	Yes
GET4		7p22.3	AMP	1	8	12.5%	No
TRIO		5p15.2	AMP	1	8	12.5%	No
UBE3A		15q11.2	AMP	1	8	12.5%	No
LINC02145		5p15.31	AMP	1	8	12.5%	No
P3H2		3q28	AMP	1	8	12.5%	No
SNORD116-24		15q11.2	AMP	1	8	12.5%	No
ABHD10		3q13.2	AMP	1	8	12.5%	No
SNORD115-34		15q11.2	HOMDEL	1	8	12.5%	No
AHR		7p21.1	AMP	1	8	12.5%	No
ALG1L		3q21.2	AMP	1	8	12.5%	No
PCNA		20p12.3	AMP	1	8	12.5%	No
MSH5		6p21.33	AMP	1	8	12.5%	No
DHX16		6p21.33	AMP	1	8	12.5%	No
LINC02239		5p14.1	AMP	1	8	12.5%	No
FXYD7		19q13.12	AMP	2	8	25.0%	No
WFDC5		20q13.12	AMP	1	8	12.5%	No
SERINC3		20q13.12	AMP	1	8	12.5%	No
THRA		17q21.1	AMP	1	8	12.5%	No
NANS		9q22.33	AMP	1	8	12.5%	No
ZNF850		19q13.12	AMP	1	8	12.5%	No
PPP1R2		3q29	AMP	1	8	12.5%	No
FTO		16q12.2	HOMDEL	1	8	12.5%	No
SNORD116-26		15q11.2	AMP	1	8	12.5%	No
LINC02133		16q12.1	HOMDEL	1	8	12.5%	No
HOXA2		7p15.2	AMP	1	8	12.5%	No
LINC01208		3q26.32	AMP	1	8	12.5%	No
MSL2		3q22.3	AMP	1	8	12.5%	No
MRPL47		3q26.33	AMP	1	8	12.5%	No
AHSG		3q27.3	AMP	1	8	12.5%	No
MT3		16q13	HOMDEL	1	8	12.5%	No
OR5AC2		3q11.2	AMP	1	8	12.5%	No
