Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
GNA13	GNA13: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	185	17%
DHX8	DHX8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	183	17%
FGF19	FGF19: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	183	17%
CPNE1	CPNE1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	182	17%
DCTN5	DCTN5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	181	17%
DHX35	DHX35: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	181	17%
EIF4A3	EIF4A3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	180	17%
DDX5	DDX5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	177	16%
CTNNBL1	CTNNBL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	177	16%
EIF4ENIF1	EIF4ENIF1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	177	16%
CUL4A	CUL4A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	176	16%
ERCC4	ERCC4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	174	16%
CSNK1D	CSNK1D: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	172	16%
H3-3B	H3-3B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	171	16%
H2AC18	H2AC18: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	170	16%
GPS1	GPS1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	169	16%
DDX52	DDX52: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	167	15%
ALYREF	ALYREF: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	166	15%
CGN	CGN: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	166	15%
DHX16	DHX16: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	165	15%
DSN1	DSN1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	164	15%
CDC6	CDC6: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	164	15%
CD55	CD55: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	158	15%
H2AW	H2AW: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	156	14%
CDC5L	CDC5L: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	155	14%
H2AC20	H2AC20: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	154	14%
FXR1	FXR1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	154	14%
ARPC1A	ARPC1A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	152	14%
EFTUD2	EFTUD2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	151	14%
H2AC21	H2AC21: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	150	14%
DDB1	DDB1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	149	14%
BRIP1	BRIP1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	149	14%
FCGR3A	FCGR3A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	148	14%
ACTR10	ACTR10: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	147	14%
COPS7A	COPS7A: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	144	13%
C2CD3	C2CD3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	143	13%
EIF4H	EIF4H: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	142	13%
DLST	DLST: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	141	13%
CEP72	CEP72: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	140	13%
DNAJB12	DNAJB12: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	140	13%
FUS	FUS: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	139	13%
BAP1	BAP1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	139	13%
COMMD2	COMMD2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	139	13%
CENPX	CENPX: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	138	13%
CUL1	CUL1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	137	13%
H2BU1	H2BU1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	136	13%
FBXL16	FBXL16: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	135	12%
CCT8	CCT8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	134	12%
GTF2H1	GTF2H1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	134	12%
