Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ACIN1	ACIN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	34	7%
FGF19	FGF19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	34	7%
GPATCH1	GPATCH1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	34	7%
FRS2	FRS2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	34	7%
FBXL13	FBXL13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	33	7%
BRIX1	BRIX1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	33	7%
CPSF6	CPSF6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	33	7%
AIMP2	AIMP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
CDK1	CDK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
FTSJ3	FTSJ3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
CUL1	CUL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
BET1	BET1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
CTNNBL1	CTNNBL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
ASB4	ASB4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
CACNA2D3	CACNA2D3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	7%
EIF3E	EIF3E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
AHCTF1	AHCTF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
CLTC	CLTC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
GCN1	GCN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
CUL4A	CUL4A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
ERCC6	ERCC6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
AXL	AXL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
CCAR2	CCAR2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
COMMD5	COMMD5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	31	6%
ALMS1	ALMS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
BORA	BORA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
CAND1	CAND1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
DHX8	DHX8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
DDX42	DDX42: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
CWC25	CWC25: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
CACNA2D4	CACNA2D4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	30	6%
ESR1	ESR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
DHX38	DHX38: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
AFF4	AFF4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
EPO	EPO: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
CEP290	CEP290: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
EXO1	EXO1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
DSN1	DSN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
DNA2	DNA2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
CHD1L	CHD1L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
FBXL3	FBXL3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	29	6%
ANXA1	ANXA1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
COPA	COPA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
EP300	EP300: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
CNTRL	CNTRL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
ELOA	ELOA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
CENPU	CENPU: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	28	6%
ACTB	ACTB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
DDB1	DDB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
CCNB1	CCNB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
CKAP5	CKAP5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
DDX39B	DDX39B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
AQR	AQR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
CEP131	CEP131: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
GFM1	GFM1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
ARHGEF2	ARHGEF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
DCUN1D2	DCUN1D2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
CHRNB3	CHRNB3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	27	6%
EPRS1	EPRS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
GTF2F2	GTF2F2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
ELL2	ELL2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
ASB5	ASB5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
FBXO10	FBXO10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
GRIK5	GRIK5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	26	5%
CEP57	CEP57: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
DDX52	DDX52: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
CLASP2	CLASP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
DYNC1I2	DYNC1I2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
DNMBP	DNMBP: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
BRCC3	BRCC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
ASH2L	ASH2L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
FRG1	FRG1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
CATSPERG	CATSPERG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	25	5%
AMPD3	AMPD3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
AP2A1	AP2A1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CLTA	CLTA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
BASP1	BASP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
DDX17	DDX17: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
BAZ2A	BAZ2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CDC40	CDC40: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
ESPL1	ESPL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
BAZ1B	BAZ1B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
GTF2H4	GTF2H4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CENPC	CENPC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
ANP32E	ANP32E: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CEP192	CEP192: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
HAUS6	HAUS6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CLIP1	CLIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
DHX37	DHX37: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
AGO1	AGO1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
FIP1L1	FIP1L1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
DNM2	DNM2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
ANAPC2	ANAPC2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
ASB11	ASB11: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
CRNKL1	CRNKL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
BRPF1	BRPF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
ASB10	ASB10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
CSTF3	CSTF3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
ANAPC1	ANAPC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
COMMD7	COMMD7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	5%
AHCY	AHCY: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
DHX15	DHX15: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
EFTUD2	EFTUD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
CENPQ	CENPQ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
H2AB1	H2AB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
CWC22	CWC22: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
CC2D2A	CC2D2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
DENND1A	DENND1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
HERC5	HERC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
FBXO9	FBXO9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	5%
DDX3X	DDX3X: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
GEMIN8	GEMIN8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DVL2	DVL2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DDX5	DDX5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DHX9	DHX9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
ELP1	ELP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
GRIA1	GRIA1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
COPB2	COPB2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
GPS1	GPS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
HAUS3	HAUS3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DAP3	DAP3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
COMMD6	COMMD6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
EEFSEC	EEFSEC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
AMPD2	AMPD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
AAK1	AAK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
DNM1	DNM1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
DDX23	DDX23: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
ERCC2	ERCC2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
BIRC3	BIRC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
CUL2	CUL2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
BRIP1	BRIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
H2AC20	H2AC20: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
H2AZ2	H2AZ2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
BUD13	BUD13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
ARCN1	ARCN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
HAUS5	HAUS5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
EXOSC8	EXOSC8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
POLR1G	POLR1G: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
FNBP1	FNBP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
ARF1	ARF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
GNA13	GNA13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
BARD1	BARD1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
H3C13	H3C13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
DCTN2	DCTN2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CLASP1	CLASP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
H2AC21	H2AC21: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
FBXL5	FBXL5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
EIF3K	EIF3K: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
EPC1	EPC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
DNAJB12	DNAJB12: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
COMMD9	COMMD9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
CACNG7	CACNG7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
FBXW10	FBXW10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	4%
DNM3	DNM3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
FCHO2	FCHO2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
HDAC10	HDAC10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
FBL	FBL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
EXOSC3	EXOSC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
EIF4H	EIF4H: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	4%
